"12gb -- Prices of Domestic Fuels in Energy Production (VAT not included), 1999Q3-2023Q3"

"Quarter","Domestic fuel","Price (eur/MWh)","Price, year-on-year change (%)"
"2012Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",14.0,4.8
"2012Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",14.2,13.2
"2012Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",12.3,15.5
"2012Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",17.4,9.8
"2012Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",15.5,11.2
"2012Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",15.3,19.3
"2012Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",13.4,22.7
"2012Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",18.3,14.8
"2012Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",16.4,16.8
"2013Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",19.3,47.0
"2013Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",14.4,28.2
"2013Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",21.8,36.9
"2013Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",16.9,20.5
"2013Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",18.9,44.2
"2013Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",14.0,25.0
"2013Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",21.7,36.3
"2013Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",16.8,19.8
"2013Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",18.5,30.6
"2013Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",13.6,10.9
"2013Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",22.6,30.3
"2013Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",17.7,14.6
"2013Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",18.2,19.1
"2013Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",13.3,-0.5
"2013Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",22.5,23.0
"2013Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",17.6,7.4
"2014Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",18.8,-2.5
"2014Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",13.9,-3.3
"2014Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",22.6,3.4
"2014Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",17.7,4.4
"2014Q2","Milled peat delivered (incl. excise duty), (1999Q3- )",18.8,-0.6
"2014Q2","Milled peat delivered (excl. excise duty), (2005Q3- )",13.9,-0.9
"2014Q2","Sod peat delivered (incl. excise duty), (1999Q3- )",22.6,3.9
"2014Q2","Sod peat delivered (excl. excise duty), (2005Q2- )",17.7,5.1
"2014Q3","Milled peat delivered (incl. excise duty), (1999Q3- )",18.7,1.0
"2014Q3","Milled peat delivered (excl. excise duty), (2005Q3- )",13.8,1.3
"2014Q3","Sod peat delivered (incl. excise duty), (1999Q3- )",22.6,0.0
"2014Q3","Sod peat delivered (excl. excise duty), (2005Q2- )",17.7,0.0
"2014Q4","Milled peat delivered (incl. excise duty), (1999Q3- )",18.4,0.9
"2014Q4","Milled peat delivered (excl. excise duty), (2005Q3- )",13.5,1.2
"2014Q4","Sod peat delivered (incl. excise duty), (1999Q3- )",22.0,-2.3
"2014Q4","Sod peat delivered (excl. excise duty), (2005Q2- )",17.1,-2.9
"2015Q1","Milled peat delivered (incl. excise duty), (1999Q3- )",17.0,-9.6
"2015Q1","Milled peat delivered (excl. excise duty), (2005Q3- )",13.6,-2.2
"2015Q1","Sod peat delivered (incl. excise duty), (1999Q3- )",20.7,-8.1
"2015Q1","Sod peat delivered (excl. excise duty), (2005Q2- )",17.3,-1.9
